catalogNumber;basisOfRecord;decimalLatitude;decimalLongitude;Class;order;family;genus;specificEpithet;infraspecificEpithet;nameAcordingTo;verbatimTaxonRank;taxonRank;acceptedNameUsage;;;establishmentMeans;;;locationRemarks;sex
AA0104;;348619;6284220;Magnoliopsida;Proteales;Proteaceae;Grevillea;robusta;;A.Cunn. ex R.Br.;;;Grevillea robusta A.Cunn. ex R.Br.;ACCEPTED;Viva;Exotica;2019;;;
AA0105;;348618;6284226;Magnoliopsida;Sapindales;Sapindaceae;Acer;pseudoplatanus;;L.;;;Acer pseudoplatanus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0106;;348619;6284237;Magnoliopsida;Myrtales;Lythraceae;Lagerstroemia;indica;;L.;;;Lagerstroemia indica L.;ACCEPTED;Viva;Exotica;2019;;;
AA0107;;348621;6284241;Magnoliopsida;Myrtales;Lythraceae;Lagerstroemia;indica;;L.;;;Lagerstroemia indica L.;ACCEPTED;Viva;Exotica;2019;;;
AA0108;;348622;6284245;Magnoliopsida;Myrtales;Lythraceae;Lagerstroemia;indica;;L.;;;Lagerstroemia indica L.;ACCEPTED;Viva;Exotica;2019;;;
AA0109;;348622;6284249;Magnoliopsida;Myrtales;Lythraceae;Lagerstroemia;indica;;L.;;;Lagerstroemia indica L.;ACCEPTED;Viva;Exotica;2019;;;
AA0110;;348623;6284252;Magnoliopsida;Myrtales;Lythraceae;Lagerstroemia;indica;;L.;;;Lagerstroemia indica L.;ACCEPTED;Viva;Exotica;2019;;;
AA0111;;348637;6284250;Magnoliopsida;Fabales;Fabaceae;Gleditsia;triacanthos;;L.;;;Gleditsia triacanthos L.;ACCEPTED;Viva;Exotica;2019;;;
AA0112;;348637;6284250;Magnoliopsida;Fabales;Fabaceae;Gleditsia;triacanthos;;L.;;;Gleditsia triacanthos L.;ACCEPTED;Viva;Exotica;2019;;;
AA0113;;348637;6284257;Magnoliopsida;Fabales;Fabaceae;Gleditsia;triacanthos;;L.;;;Gleditsia triacanthos L.;ACCEPTED;Viva;Exotica;2019;;;
AA0114;;348641;6284250;Magnoliopsida;Rosales;Rosaceae;Prunus;cerasifera;;Ehrh.;;;Prunus cerasifera Ehrh.;ACCEPTED;Viva;Exotica;2019;;;
AA0115;;348640;6284256;Magnoliopsida;Lamiales;Bignoniaceae;Catalpa;speciosa;;Engelm.;;;Catalpa speciosa (Warder) Engelm.;ACCEPTED;Viva;Exotica;2019;;;
AA0116;;348644;6284256;Magnoliopsida;Lamiales;Bignoniaceae;Catalpa;speciosa;;Engelm.;;;Catalpa speciosa (Warder) Engelm.;ACCEPTED;Viva;Exotica;2019;;;
AA0117;;348643;6284250;Magnoliopsida;Oxalidales;Elaeocarpaceae;Aristotelia;chilensis;;Stuntz.;;;Aristotelia chilensis Stuntz.;ACCEPTED;Viva;Nativa;2019;;;
