catalogNumber,catalogNumber,basisOfRecord,decimalLatitude,decimalLongitude,phylum,Class,order,family,genus,specificEpithet,infraspecificEpithet,nameAcordingTo,verbatimTaxonRank,taxonRank,acceptedNameUsage,Nombre común,Estado,establishmentMeans,ingreso,plantacion,sex
AA0059,AA0059,LivingSpecimen,348650,6284193,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0060,AA0060,LivingSpecimen,348645,6284194,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0061,AA0061,LivingSpecimen,348642,6284194,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0062,AA0062,LivingSpecimen,348645,6284190,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0063,AA0063,LivingSpecimen,348642,6284190,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0064,AA0064,LivingSpecimen,348638,6284195,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,,,L.,sp.,genus,Ulmus  L.,,Viva,Exótica,2019,,hermaphrodite
AA0065,AA0065,LivingSpecimen,348635,6284195,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,,,L.,sp.,genus,Ulmus  L.,,Viva,Exótica,2019,,hermaphrodite
AA0066,AA0066,LivingSpecimen,348634,6284191,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0067,AA0067,LivingSpecimen,348630,6284192,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0068,AA0068,LivingSpecimen,348630,6284196,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,,,L.,sp.,genus,Ulmus  L.,,Viva,Exótica,2019,,hermaphrodite
AA0069,AA0069,LivingSpecimen,348626,6284197,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,,,L.,sp.,genus,Ulmus  L.,,Viva,Exótica,2019,,hermaphrodite
AA0070,AA0070,LivingSpecimen,348626,6284193,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0071,AA0071,LivingSpecimen,348619,6284193,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0072,AA0072,LivingSpecimen,348621,6284197,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,,Viva,Exótica,2019,,hermaphrodite
AA0073,AA0073,LivingSpecimen,348618,6284198,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,,,L.,sp.,genus,Ulmus  L.,,Viva,Exótica,2019,,hermaphrodite
AA0074,AA0074,LivingSpecimen,348614,6284194,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0075,AA0075,LivingSpecimen,348616,6284198,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,,,L.,sp.,genus,Ulmus  L.,,Viva,Exótica,2019,,hermaphrodite
AA0076,AA0076,LivingSpecimen,348612,6284198,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,,,L.,sp.,genus,Ulmus  L.,,Viva,Exótica,2019,,hermaphrodite
AA0077,AA0077,LivingSpecimen,348610,6284195,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
